sku,category,sub_category,brand,product_name,cost_price,mrp,launch_date,is_active
SKU002349,,Formal Shoes,Bluecrest,Bluecrest Formal Shoes Lite 445,333.99,563.47,2025-07-29,Y
SKU009460,Home & Kitchen,Dining,Copperfield,Copperfield Dining Classic 367,749.82,1639.1,2024-04-26,Y
SKU001356,Apparel,Men Topwear,Urbanite,Urbanite Men Topwear Everyday 606,166.11,274.53,2022-03-03,N
SKU007345,Books,Children,Halcyon,Halcyon Children Lite 942,354.96,899.97,2025-05-05,Y
SKU007172,Electronics,Wearables,Meraki,Meraki Wearables Everyday 286,167.23,247.49,2024-01-07,N
SKU008582,,Ethnic Wear,Halcyon,Halcyon Ethnic Wear Max 372,425.57,710.2,2022-01-07,Y
SKU002389,Footwear,Sandals,Bluecrest,Bluecrest Sandals Pro 101,381.5,691.74,2024-02-19,N
SKU010992,Books,Fiction,Kite & Key,Kite & Key Fiction Signature 422,215.25,464.24,2025-09-06,Y
SKU004792,Home & Kitchen,Cookware,Kite & Key,Kite & Key Cookware Max 636,376.93,882.36,2023-10-14,Y
SKU010036,Electronics,Wearables,Steelwood,Steelwood Wearables Lite 872,462.27,939.2,2022-07-13,Y
SKU010007,,Bags,Palladio,Palladio Bags Pro 981,673.1,1595.65,2022-10-17,Y
SKU011091,Toys,Board Games,Rivet,Rivet Board Games Max 390,197.52,292.32,2023-12-20,Y
SKU006254,Home & Kitchen,Cookware,Copperfield,Copperfield Cookware Lite 464,20.71,38.39,2025-06-10,Y
SKU006260,,Learning,Saffron & Co,Saffron & Co Learning Max 224,295.53,443.04,2024-10-27,Y
SKU002020,Grocery,Snacks,Copperfield,Copperfield Snacks Lite 249,39.64,79.41,2024-07-26,Y
SKU003022,Personal Care,Oral Care,Ficus,Ficus Oral Care Essential 494,670.6,1074.18,2024-12-08,Y
SKU003661,,Wearables,Ficus,Ficus Wearables Lite 241,2842.05,5242.32,2025-04-01,Y
SKU001965,,Grooming,Halcyon,Halcyon Grooming Everyday 800,226.47,381.47,2024-01-19,Y
SKU008373,,Cycling,Saffron & Co,Saffron & Co Cycling Premium 870,1157.21,2404.18,2025-05-11,Y
SKU009000,Home & Kitchen,Storage,Verdant,Verdant Storage Signature 586,487.72,701.35,2023-09-24,N
SKU011592,Toys,Board Games,Urbanite,Urbanite Board Games Essential 736,175.21,359.11,2022-10-07,Y
SKU008944,Toys,Outdoor Play,Bluecrest,Bluecrest Outdoor Play Everyday 412,356.67,720.08,2025-06-01,Y
SKU008689,Grocery,Staples,Copperfield,Copperfield Staples Premium 145,334.98,727.44,2025-01-06,Y
SKU010597,,Women Topwear,Auralis,Auralis Women Topwear Everyday 675,532.2,1368.38,2025-03-23,Y
SKU000851,Footwear,Casual Shoes,Steelwood,Steelwood Casual Shoes Signature 510,401.66,931.37,2022-06-23,Y
SKU003121,,Decor,Trailhead,Trailhead Decor Max 321,108.7,177.87,2023-02-09,Y
SKU007426,Grocery,Staples,Urbanite,Urbanite Staples Classic 390,135.73,295.32,2022-03-30,Y
SKU003471,,Haircare,Palladio,Palladio Haircare Premium 670,723.3,1274.44,2024-05-22,Y
SKU005767,Footwear,Sports Shoes,Nimbus,Nimbus Sports Shoes Pro 813,270.02,601.44,2025-09-21,Y
SKU003245,Accessories,Bags,Orenda,Orenda Bags Signature 831,1448.46,2302.11,2023-09-09,Y
SKU007707,,Fragrance,Nimbus,Nimbus Fragrance Everyday 503,247.1,537.76,2022-05-02,Y
SKU009036,,Children,Palladio,Palladio Children Lite 924,1783.36,3670.89,2022-05-20,N
SKU005793,Books,Fiction,Kite & Key,Kite & Key Fiction Everyday 341,243.68,346.63,2025-05-27,Y
SKU007181,Toys,Outdoor Play,Halcyon,Halcyon Outdoor Play Lite 889,131.99,235.63,2022-06-30,Y
SKU005532,,Seating,Ficus,Ficus Seating Premium 240,184.76,417.0,2023-11-02,Y
SKU011474,,Makeup,Steelwood,Steelwood Makeup Premium 206,328.32,699.0,2025-05-07,Y
SKU003211,Toys,Outdoor Play,Meraki,Meraki Outdoor Play Classic 960,500.4,913.04,2024-11-11,Y
SKU004542,Footwear,Casual Shoes,Meraki,Meraki Casual Shoes Lite 843,377.09,663.72,2022-01-13,Y
SKU002589,,Soft Toys,Copperfield,Copperfield Soft Toys Signature 606,409.03,785.22,2024-05-30,Y
SKU002656,Accessories,Bags,Monsoon Lane,Monsoon Lane Bags Signature 879,199.49,407.4,2022-07-20,Y
SKU009545,Books,Children,Trailhead,Trailhead Children Pro 125,489.41,994.87,2022-05-04,Y
SKU005548,Sports,Cricket,Halcyon,Halcyon Cricket Signature 676,429.51,882.27,2023-09-20,Y
SKU006559,Beauty,Skincare,Northline,Northline Skincare Signature 125,364.25,599.27,2023-05-19,Y
SKU009017,Footwear,Formal Shoes,Palladio,Palladio Formal Shoes Pro 861,336.42,712.27,2025-07-26,Y
SKU005077,Personal Care,Bath,Meraki,Meraki Bath Everyday 237,245.14,625.23,2025-05-24,Y
SKU009564,,Skincare,Northline,Northline Skincare Premium 704,627.13,1297.36,2024-05-21,Y
SKU004049,Beauty,Haircare,Urbanite,Urbanite Haircare Pro 953,151.19,350.09,2023-08-31,Y
SKU009365,Electronics,Mobile Accessories,Palladio,Palladio Mobile Accessories Max 694,334.51,764.23,2024-01-14,Y
SKU004848,,Storage Units,Kite & Key,Kite & Key Storage Units Max 976,2300.87,5751.98,2024-01-23,Y
SKU000252,Books,Children,Urbanite,Urbanite Children Pro 438,378.92,514.1,2023-12-27,Y
SKU006316,Home & Kitchen,Dining,Kite & Key,Kite & Key Dining Premium 568,114.64,187.27,2024-01-07,Y
SKU003915,Home & Kitchen,Cleaning,Kite & Key,Kite & Key Cleaning Max 941,334.78,860.14,2024-11-22,Y
SKU001154,Personal Care,Grooming,Verdant,Verdant Grooming Premium 700,1012.61,2050.09,2026-01-24,Y
SKU008934,Toys,Board Games,Verdant,Verdant Board Games Lite 378,216.51,352.61,2025-07-17,Y
SKU001984,,Dining,Monsoon Lane,Monsoon Lane Dining Premium 740,339.44,870.24,2025-09-02,Y
SKU003275,Furniture,Decor,Ficus,Ficus Decor Pro 197,396.76,836.98,2023-04-07,Y
SKU010886,,Makeup,Palladio,Palladio Makeup Lite 564,398.46,920.31,2026-01-24,Y
SKU000051,,Non Fiction,Saffron & Co,Saffron & Co Non Fiction Signature 868,716.39,1281.67,2024-03-03,Y
SKU001374,Personal Care,Grooming,Urbanite,Urbanite Grooming Signature 198,690.87,1774.01,2024-03-13,Y
SKU004748,,Yoga,Orenda,Orenda Yoga Signature 363,59.35,128.8,2026-01-01,Y
SKU004521,Books,Academic,Bluecrest,Bluecrest Academic Everyday 574,72.5,164.79,2025-04-30,Y
SKU000386,Books,Fiction,Palladio,Palladio Fiction Pro 766,133.31,329.87,2024-07-27,Y
SKU007970,,Storage,Nimbus,Nimbus Storage Essential 462,686.96,1421.89,2026-01-08,Y
SKU006746,Toys,Soft Toys,Northline,Northline Soft Toys Everyday 233,307.0,559.25,2022-01-23,Y
SKU009804,Electronics,Mobile Accessories,Halcyon,Halcyon Mobile Accessories Signature 265,811.33,1806.5,2022-06-01,Y
SKU010221,Accessories,Belts & Wallets,Copperfield,Copperfield Belts & Wallets Classic 509,240.67,600.98,2024-09-27,Y
SKU005596,Beauty,Fragrance,Verdant,Verdant Fragrance Lite 853,110.83,247.57,2023-11-11,Y
SKU006707,Grocery,Snacks,Trailhead,Trailhead Snacks Pro 248,384.75,659.12,2022-10-15,Y
SKU010888,Electronics,Small Appliances,Monsoon Lane,Monsoon Lane Small Appliances Classic 853,179.84,368.22,2025-05-15,Y
SKU004601,Footwear,Formal Shoes,Copperfield,Copperfield Formal Shoes Classic 452,310.75,753.14,2023-01-03,Y
SKU005350,Toys,Outdoor Play,Halcyon,Halcyon Outdoor Play Essential 155,966.39,1786.09,2025-04-14,Y
SKU007208,Electronics,Wearables,Halcyon,Halcyon Wearables Essential 719,112.12,273.97,2024-01-18,Y
SKU006642,Toys,Board Games,Verdant,Verdant Board Games Everyday 106,1072.09,2130.48,2025-03-12,Y
SKU005748,,Dining,Trailhead,Trailhead Dining Everyday 584,482.63,685.34,2025-01-09,Y
SKU003059,,Cycling,Bluecrest,Bluecrest Cycling Classic 940,194.19,298.54,2024-11-25,Y
SKU009780,,Wearables,Monsoon Lane,Monsoon Lane Wearables Premium 710,1286.66,3261.44,2024-07-12,Y
SKU012025,Footwear,Formal Shoes,Halcyon,Halcyon Formal Shoes Everyday 173,611.38,1165.97,2024-08-31,Y
SKU007948,Home & Kitchen,Cleaning,Saffron & Co,Saffron & Co Cleaning Premium 671,339.11,530.73,2024-11-09,Y
SKU004339,Grocery,Beverages,Copperfield,Copperfield Beverages Premium 950,488.6,919.71,2025-03-21,Y
SKU001609,Personal Care,Oral Care,Trailhead,Trailhead Oral Care Essential 557,231.61,420.59,2024-02-12,Y
SKU012101,Electronics,Small Appliances,Auralis,Auralis Small Appliances Lite 146,450.7,1133.47,2023-10-20,N
SKU009899,Apparel,Bottomwear,Saffron & Co,Saffron & Co Bottomwear Classic 233,1114.88,2184.39,2024-02-19,Y
SKU004316,Beauty,Haircare,Kite & Key,Kite & Key Haircare Premium 340,959.43,1749.68,2022-08-08,Y
SKU011033,Books,Academic,Kite & Key,Kite & Key Academic Lite 760,1574.66,3786.6,2026-02-08,Y
SKU004246,Electronics,Small Appliances,Monsoon Lane,Monsoon Lane Small Appliances Everyday 214,538.95,1277.33,2022-08-23,Y
SKU001179,,Cycling,Saffron & Co,Saffron & Co Cycling Max 145,622.61,1175.88,2024-02-05,Y
SKU003560,Footwear,Sports Shoes,Saffron & Co,Saffron & Co Sports Shoes Classic 526,1315.56,1954.43,2023-05-13,Y
SKU004247,Electronics,Audio,Verdant,Verdant Audio Premium 857,374.01,845.83,2023-08-13,Y
SKU002055,,Fiction,Palladio,Palladio Fiction Premium 112,267.71,446.6,2025-05-21,Y
SKU006665,,Health,Urbanite,Urbanite Health Essential 230,411.33,726.23,2024-11-02,Y
SKU010284,Electronics,Wearables,Verdant,Verdant Wearables Pro 158,344.94,874.32,2022-03-07,Y
SKU008775,Footwear,Casual Shoes,Trailhead,Trailhead Casual Shoes Essential 513,474.59,742.28,2024-04-30,Y
SKU002253,Accessories,Watches,Urbanite,Urbanite Watches Signature 752,626.78,1055.59,2022-05-20,Y
SKU008073,,Board Games,Nimbus,Nimbus Board Games Everyday 881,149.05,377.17,2023-04-08,Y
SKU010550,Sports,Fitness,Nimbus,Nimbus Fitness Max 447,163.89,354.0,2025-06-30,Y
SKU007045,Personal Care,Oral Care,Monsoon Lane,Monsoon Lane Oral Care Signature 128,424.84,648.25,2025-08-13,Y
SKU006154,,Skincare,Bluecrest,Bluecrest Skincare Essential 127,141.25,219.01,2023-03-01,Y
SKU005874,,Formal Shoes,Steelwood,Steelwood Formal Shoes Classic 795,420.67,568.11,2022-08-08,Y
SKU011365,Toys,Board Games,Monsoon Lane,Monsoon Lane Board Games Lite 544,196.82,387.03,2024-05-15,Y
SKU002456,Grocery,Packaged Food,Saffron & Co,Saffron & Co Packaged Food Lite 945,477.22,1187.94,2022-12-15,Y
SKU005782,,Oral Care,Urbanite,Urbanite Oral Care Premium 816,671.14,979.13,2024-06-11,Y
SKU004955,,Cleaning,Palladio,Palladio Cleaning Premium 346,1050.86,1899.86,2024-01-01,Y
SKU008060,,Bath,Zenko,Zenko Bath Everyday 566,425.94,974.18,2024-09-08,Y
SKU008623,Accessories,Belts & Wallets,Nimbus,Nimbus Belts & Wallets Pro 749,218.77,439.52,2024-09-09,Y
SKU011568,Accessories,Watches,Rivet,Rivet Watches Premium 298,1815.88,3250.7,2024-02-15,Y
SKU006947,,Cricket,Rivet,Rivet Cricket Signature 982,916.53,1313.88,2024-10-08,Y
SKU011144,,Sports Shoes,Copperfield,Copperfield Sports Shoes Max 434,2947.93,5164.27,2025-12-16,N
SKU008425,Personal Care,Oral Care,Kavira,Kavira Oral Care Max 126,628.61,1529.48,2022-01-27,Y
SKU012394,,Wearables,Meraki,Meraki Wearables Signature 194,685.98,1251.26,2024-06-03,Y
SKU006430,,Soft Toys,Copperfield,Copperfield Soft Toys Max 278,883.19,1193.02,2024-05-31,Y
SKU007415,Sports,Cycling,Halcyon,Halcyon Cycling Signature 274,182.17,436.1,2022-10-18,Y
SKU004169,Accessories,Eyewear,Trailhead,Trailhead Eyewear Premium 706,42.53,93.05,2025-09-05,Y
SKU006844,,Fiction,Zenko,Zenko Fiction Signature 109,586.43,867.76,2024-10-27,N
SKU009322,Sports,Cricket,Zenko,Zenko Cricket Pro 903,49.48,104.61,2024-02-10,Y
SKU001517,,Packaged Food,Kite & Key,Kite & Key Packaged Food Max 826,2362.91,4060.41,2025-02-06,Y
SKU008769,Grocery,Staples,Trailhead,Trailhead Staples Everyday 655,259.84,492.69,2024-04-24,N
SKU003502,,Small Appliances,Nimbus,Nimbus Small Appliances Classic 516,454.8,1070.22,2025-11-15,Y
SKU000625,Accessories,Bags,Bluecrest,Bluecrest Bags Pro 652,97.57,226.44,2025-02-01,Y
SKU000928,,Watches,Bluecrest,Bluecrest Watches Essential 438,720.51,1750.53,2023-06-25,Y
SKU008335,Books,Fiction,Copperfield,Copperfield Fiction Lite 600,486.57,1152.02,2023-06-06,Y
SKU001740,,Makeup,Trailhead,Trailhead Makeup Essential 560,242.87,564.65,2024-08-25,Y
SKU006605,Books,Fiction,Steelwood,Steelwood Fiction Essential 596,1303.66,2561.96,2024-09-28,Y
SKU003036,Personal Care,Health,Nimbus,Nimbus Health Everyday 304,856.63,1952.49,2024-09-07,Y
SKU011632,Books,Fiction,Monsoon Lane,Monsoon Lane Fiction Signature 919,146.49,309.5,2022-09-15,Y
SKU008063,Footwear,Casual Shoes,Saffron & Co,Saffron & Co Casual Shoes Classic 774,699.63,1684.1,2025-07-29,Y
SKU008392,Accessories,Bags,Nimbus,Nimbus Bags Signature 906,112.66,285.05,2022-07-27,Y
SKU002125,Toys,Learning,Zenko,Zenko Learning Signature 978,1352.08,2852.92,2023-09-14,N
SKU009928,,Staples,Monsoon Lane,Monsoon Lane Staples Premium 594,276.06,573.68,2023-03-28,Y
SKU009240,Furniture,Storage Units,Verdant,Verdant Storage Units Premium 191,616.12,1462.42,2022-03-07,Y
SKU010740,Sports,Yoga,Kavira,Kavira Yoga Classic 213,175.75,283.54,2024-01-26,Y
SKU002228,Grocery,Packaged Food,Nimbus,Nimbus Packaged Food Everyday 587,228.45,486.15,2025-08-07,Y
SKU000150,,Staples,Palladio,Palladio Staples Classic 791,213.38,505.95,2024-02-19,Y
SKU011502,,Children,Meraki,Meraki Children Classic 105,282.28,578.04,2024-07-14,Y
SKU008345,,Outdoor Play,Halcyon,Halcyon Outdoor Play Essential 256,975.89,2170.55,2022-07-20,Y
SKU010567,Books,Children,Steelwood,Steelwood Children Everyday 416,1322.8,3092.82,2024-10-01,Y
SKU007293,Personal Care,Bath,Saffron & Co,Saffron & Co Bath Max 888,271.26,456.87,2022-10-23,Y
SKU003708,Sports,Cycling,Kite & Key,Kite & Key Cycling Premium 243,908.94,1441.98,2026-01-25,Y
SKU000291,Accessories,Belts & Wallets,Monsoon Lane,Monsoon Lane Belts & Wallets Classic 688,968.97,1819.96,2022-06-02,Y
SKU012381,Home & Kitchen,Storage,Urbanite,Urbanite Storage Signature 969,1882.65,4004.11,2025-02-10,Y
SKU009938,,Grooming,Palladio,Palladio Grooming Max 403,541.12,823.5,2024-09-29,Y
SKU003743,,Wearables,Saffron & Co,Saffron & Co Wearables Essential 380,3103.09,5367.66,2024-07-28,Y
SKU000201,,Audio,Urbanite,Urbanite Audio Max 675,114.71,162.64,2022-11-11,Y
SKU011319,Home & Kitchen,Dining,Auralis,Auralis Dining Pro 374,196.74,476.63,2022-05-17,Y
SKU008472,Toys,Learning,Saffron & Co,Saffron & Co Learning Lite 315,476.4,668.86,2022-07-29,N
SKU003353,,Haircare,Copperfield,Copperfield Haircare Pro 377,350.88,650.82,2022-10-28,Y
SKU004393,,Academic,Kavira,Kavira Academic Classic 625,349.95,753.38,2025-08-15,Y
SKU001651,,Storage,Copperfield,Copperfield Storage Everyday 473,564.93,998.9,2025-09-30,Y
SKU012382,Beauty,Fragrance,Northline,Northline Fragrance Signature 395,1523.09,3360.9,2022-04-08,Y
SKU005768,Home & Kitchen,Dining,Orenda,Orenda Dining Premium 680,871.0,1879.25,2024-07-03,Y
SKU000748,Footwear,Formal Shoes,Trailhead,Trailhead Formal Shoes Lite 151,350.42,810.88,2022-06-16,Y
SKU010037,Beauty,Fragrance,Northline,Northline Fragrance Signature 505,968.43,2192.73,2022-10-28,Y
SKU010588,Sports,Cycling,Auralis,Auralis Cycling Pro 242,780.93,1243.89,2022-05-29,Y
SKU007770,Footwear,Sandals,Urbanite,Urbanite Sandals Essential 193,191.19,419.2,2024-01-01,Y
SKU011848,,Ethnic Wear,Kite & Key,Kite & Key Ethnic Wear Essential 668,608.45,989.97,2022-02-19,Y
SKU002255,Electronics,Audio,Kite & Key,Kite & Key Audio Essential 245,233.38,581.77,2022-05-15,Y
SKU005827,,Small Appliances,Urbanite,Urbanite Small Appliances Max 400,347.22,564.14,2023-01-22,Y
SKU004084,,Cycling,Kite & Key,Kite & Key Cycling Lite 379,369.93,797.46,2024-12-09,Y
SKU004794,,Board Games,Zenko,Zenko Board Games Pro 474,29.37,49.48,2023-06-16,Y
SKU006949,,Academic,Zenko,Zenko Academic Essential 138,471.74,899.14,2026-01-06,Y
SKU011331,,Fragrance,Copperfield,Copperfield Fragrance Premium 964,192.81,466.04,2024-09-03,Y
SKU005480,,Winter Wear,Verdant,Verdant Winter Wear Max 299,63.09,150.98,2022-09-30,Y
SKU011603,Accessories,Belts & Wallets,Orenda,Orenda Belts & Wallets Classic 451,276.95,444.35,2022-07-20,Y
